trial,bucketer,encoder,model_type,lstm_units,conv_filters,kernel_size,dropout,lr,batch_size,epochs,class_weight_pos,threshold,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_pr_auc,val_mcc,val_best_threshold,val_best_f1_on_val,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_pr_auc,test_mcc,score
31,kmeans,index,bilstm,128,32,3,0.49916107472245586,0.004707978409232461,32,13,6.891463592287269,0.6129177459152677,0.6363970588235294,0.5893881453154876,0.9046221570066031,0.7137481910274964,0.6676154349799496,0.6051533034087245,0.3222700868192427,0.8918741941452026,0.7137481910270185,0.5973557692307693,0.551156409251274,0.8782011242973142,0.6772639691714836,0.6367327238657658,0.5686348655358626,0.25416854366658337,0.6012235966265489
32,kmeans,index,bilstm,128,32,3,0.4655823007210352,0.003525843963704161,32,17,6.280113520288462,0.5213184123935728,0.6345588235294117,0.5873166114529106,0.9104915627292737,0.7140391254315305,0.6693647406372544,0.6079917165696177,0.3217085398159106,0.8327288627624512,0.7140391254310539,0.5940504807692307,0.5482253086419753,0.8875702685821362,0.67779632721202,0.6390689519108461,0.5694234826480649,0.25223322296947565,0.6019353360172514
33,kmeans,index,bilstm,128,32,3,0.47019185794987406,0.003218551683613285,32,23,7.754600091085849,0.4635341588994578,0.6341911764705882,0.5876190476190476,0.9053558327219369,0.7126768697660988,0.6704825553325032,0.6093345587125253,0.31845041646787786,0.9061233401298523,0.7126768697656214,0.5961538461538461,0.550293542074364,0.8782011242973142,0.6766121270452358,0.636011909175179,0.5683239577616175,0.25188529583805896,0.600810408546703
35,prefix,index,bilstm,128,32,3,0.46350598937351195,0.0018990052104844548,32,9,6.472749674230675,0.5309123675282047,0.5216911764705883,0.5121378230227095,0.9596478356566398,0.6678580546336482,0.5717231539297066,0.5443640936855739,0.0865675531234286,0.8348486423492432,0.6678580546331944,0.49669471153846156,0.48806451612903223,0.9450343535290443,0.6436928313124867,0.5586384378321743,0.5191822548815002,0.05162148486956307,0.5565354278107961
38,kmeans,index,bilstm,128,64,5,0.47784450582812665,0.005573013013925533,64,13,7.008612737902642,0.6186149348528408,0.6363970588235294,0.5893881453154876,0.9046221570066031,0.7137481910274964,0.6657331269453626,0.6037021435637147,0.3222700868192427,0.8909248113632202,0.7137481910270185,0.5973557692307693,0.551156409251274,0.8782011242973142,0.6772639691714836,0.6371663700343626,0.568697990640251,0.25416854366658337,0.6012677841996207
41,kmeans,index,bilstm,128,32,3,0.4538806697435885,0.005260143915922777,32,17,6.01100368283264,0.5432565013777371,0.6121323529411765,0.5700636942675159,0.9192956713132795,0.7037349059253019,0.6501534663609414,0.5918209297717234,0.28301642478097944,0.8835570812225342,0.7037349059248293,0.5670072115384616,0.5298953662182362,0.8856964397251718,0.663081599251812,0.6240099648200478,0.5619938661934223,0.19797429942838352,0.5923201861109392
42,kmeans,index,bilstm,128,32,3,0.4928898341137675,0.002424216686916723,32,18,6.5134870987956734,0.5799570756206082,0.6360294117647058,0.5886828340466,0.9082905355832722,0.7143681477207156,0.6673194235914859,0.6048994529823601,0.3233795230991995,0.8792235851287842,0.7143681477202383,0.5946514423076923,0.5488750969743987,0.8838226108682073,0.6771955013161043,0.6396074833078775,0.5696771458891272,0.25160339486871747,0.6019326525172203
43,kmeans,index,bilstm,128,32,3,0.48192398393856545,0.00303086737309765,32,21,6.728687253752758,0.5112444196508301,0.6360294117647058,0.5891065456282848,0.9046221570066031,0.7135416666666666,0.6694366484265981,0.6105536679428334,0.3215750578144279,0.8641172051429749,0.7135416666661889,0.5964543269230769,0.5505090054815975,0.8782011242973142,0.6767749699157641,0.6358643465089675,0.5684162722090257,0.2524566094791309,0.6009238815210471
44,none,index,bilstm,128,32,3,0.4942312785749561,0.0021681141884628587,32,19,4.063582382461484,0.593239025709156,0.5216911764705883,0.5121378230227095,0.9596478356566398,0.6678580546336482,0.5702036288022596,0.5402053376867967,0.0865675531234286,0.7545194029808044,0.6678580546331944,0.49669471153846156,0.48806451612903223,0.9450343535290443,0.6436928313124867,0.5588286779361625,0.5200109936721974,0.05162148486956307,0.5571155449642842
46,kmeans,index,cnn_lstm,64,64,5,0.48285147394108247,0.00015739580012997544,32,13,7.474172656084145,0.6503155227224844,0.6363970588235294,0.5893881453154876,0.9046221570066031,0.7137481910274964,0.6647799432415058,0.5988059067886284,0.3222700868192427,0.8575378656387329,0.7137481910270185,0.5973557692307693,0.551156409251274,0.8782011242973142,0.6772639691714836,0.6385378348144455,0.5687812222478078,0.25416854366658337,0.6013260463249105
